3881,00,49,48.83,1,41,04,44.2,4.53
3885,00,49,53.11,1,27,42,37.1,5.55
3903,00,50,03.76,0,43,23,41.8,6.49
3909,00,50,07.72,0,10,38,37.6,5.17
3919,00,50,18.21,1,45,00,08.1,6.13
3949,00,50,41.13,0,50,59,12.9,5.24
3951,00,50,43.57,1,64,14,51.3,5.35
3965,00,50,57.27,1,51,30,28.9,6.38
3988,00,51,16.39,1,61,48,19.8,6.04
3992,00,51,18.31,1,03,23,06.6,6.39
4023,00,51,33.79,1,51,34,17.2,6.22
4104,00,52,40.60,0,24,00,21.3,5.47
4147,00,53,00.49,0,01,08,39.2,4.78
4151,00,53,04.28,1,61,07,24.8,4.8
4164,00,53,12.39,0,24,46,37.1,6.44
4185,00,53,28.22,1,37,25,05.9,6.07
4200,00,53,37.78,0,62,52,16.9,5.73
4212,00,53,47.53,1,52,41,21.6,6.27
4257,00,54,17.58,0,08,44,26.0,6.15
4267,00,54,35.22,1,19,11,18.4,5.8
4283,00,54,52.76,1,83,42,26.9,5.59
4288,00,54,58.02,1,23,37,42.4,5.46
4292,00,55,00.19,1,58,58,22.1,4.83
4293,00,55,00.30,0,69,31,37.1,5.45
4298,00,55,05.22,1,48,40,42.8,6.28
4317,00,55,14.66,1,24,33,25.5,6.19
4346,00,55,42.40,0,07,20,49.3,5.88
4363,00,55,55.53,0,27,46,33.0,6.11
4366,00,55,58.52,1,27,12,33.7,6.08
4371,00,56,01.51,0,11,15,59.4,5.35
4382,00,56,09.12,1,13,57,07.1,6.46
4383,00,56,12.93,1,57,59,47.7,6.2
4422,00,56,40.01,1,59,10,52.2,4.62
4427,00,56,42.50,1,60,43,00.3,2.15
4436,00,56,45.10,1,38,29,57.3,3.86
4440,00,56,46.94,1,60,21,46.3,5.56
4446,00,56,54.99,1,68,46,32.7,6.39
4463,00,57,12.43,1,23,25,03.9,4.4
4475,00,57,19.53,1,61,25,19.0,6.44
4501,00,57,39.64,1,45,50,21.8,6.1
4510,00,57,50.15,1,28,59,32.0,5.44
4520,00,57,54.52,1,13,41,45.2,6.3
4552,00,58,14.19,1,33,57,03.8,5.99
4558,00,58,18.90,1,21,24,16.2,6.47
4563,00,58,22.18,0,60,41,46.7,6.23
4572,00,58,31.00,1,66,21,06.6,5.97
4577,00,58,36.35,0,29,21,26.9,4.3
4587,00,58,43.89,0,11,22,47.8,5.62
4655,00,59,49.67,1,06,28,59.7,6.14
4675,01,00,03.55,1,44,42,47.9,5.69
4709,01,00,30.87,1,70,58,58.8,6.4
4770,01,01,18.23,0,38,54,59.9,5.59
4786,01,01,27.04,1,49,32,39.2,6.48
4801,01,01,38.60,0,16,15,55.3,6.47
4829,01,02,01.81,0,57,00,08.7,6.12
4844,01,02,18.47,1,51,02,05.9,6.48
4852,01,02,26.38,0,31,33,07.4,5.5
4879,01,02,42.89,0,65,27,22.0,6.25
4889,01,02,49.09,1,31,48,15.6,5.5
