113136,22 54 39.04,-15 49 14.7,3.27,20.44,-44.08,-24.81,A3V,0.066
45556,09 17 05.43,-59 16 30.9,2.21,4.71,-19.03,13.11,A8Ib,0.189
96757,19 40 05.78,+18 00 50.2,4.39,6.89,15.09,-19.72,G0II,0.777
76276,15 34 48.19,+10 32 19.9,3.8,15.54,-72.63,3.17,F0IV,0.268
61941,12 41 40.00,-01 26 58.3,2.74,84.53,-616.66,60.66,F0V+...,0.368
111104,22 30 29.26,+43 07 24.2,4.52,2.38,-2.05,-5.76,B2IV,-0.086
39429,08 03 35.07,-40 00 11.5,2.21,2.33,-30.82,16.77,O5IAf,-0.269
49669,10 08 22.46,+11 58 01.9,1.36,42.09,-249.4,4.91,B7V,-0.087
76297,15 35 08.46,-41 10 00.1,2.8,5.75,-16.05,-25.52,B2IV,-0.216
109074,22 05 47.03,-00 19 11.4,2.95,4.3,17.9,-9.93,G2Ib,0.969
111123,22 30 38.82,-10 40 40.4,4.82,12.29,1.79,-26.26,A0IVs,-0.053
35350,07 18 05.61,+16 32 25.7,3.58,34.59,-46.09,-37.9,A3V...,0.106
25110,05 22 33.78,+79 13 50.7,5.08,47.66,-78.6,161.13,F6V,0.506
104987,21 15 49.40,+05 14 53.1,3.92,17.51,59.63,-94.33,G0III+...,0.549
12828,02 44 56.37,+10 06 51.2,4.27,38.71,285.17,-30.4,F1III-IV,0.311
72220,14 46 14.99,+01 53 34.6,3.73,25.35,-116.04,-21.75,A0V,-0.005
6686,01 25 48.60,+60 14 07.5,2.66,32.81,297.24,-49.49,A5Vv SB,0.16
14879,03 12 04.28,-28 59 20.8,3.8,70.86,371.49,612.26,F8V,0.543
86565,17 41 24.92,-12 52 30.6,4.24,19.41,-72.16,-55.22,A2Va,0.086
12843,02 45 05.98,-18 34 21.5,4.47,71.56,330.93,36.28,F5/F6V,0.481
76333,15 35 31.54,-14 47 22.4,3.91,21.42,65.67,6.93,K0III,1.007
78384,16 00 07.34,-38 23 47.9,3.42,6.61,-16.58,-27.06,B2.5IV,-0.206
109111,22 06 06.90,-39 32 35.0,4.47,13.2,-24.16,-125.17,M0III,1.349
